(
	SELECT
		title,
		category.name AS category_name,
		SUM(payment.amount) AS total_earnings,
		SUM(payment.amount) / COUNT(DISTINCT rental.rental_id) AS avg_payment
	FROM
		film
		JOIN film_category ON film.film_id = film_category.film_id
		JOIN category ON film_category.category_id = category.category_id
		JOIN inventory ON film.film_id = inventory.film_id
		JOIN rental ON inventory.inventory_id = rental.inventory_id
		JOIN payment ON rental.rental_id = payment.rental_id
	GROUP BY
		film.film_id,
		category.category_id
)
UNION ALL 
(
	SELECT
		'Category Pricings' AS title,
		category.name AS category_name,
		SUM(payment.amount) AS total_earnings,
		SUM(payment.amount) / COUNT(DISTINCT rental.rental_id) AS avg_payment
	FROM
		category
		JOIN film_category ON category.category_id = film_category.category_id
		JOIN film ON film_category.film_id = film.film_id
		JOIN inventory ON film.film_id = inventory.film_id
		JOIN rental ON inventory.inventory_id = rental.inventory_id
		JOIN payment ON rental.rental_id = payment.rental_id
	GROUP BY
		category.category_id
)
ORDER BY
	total_earnings DESC,
	category_name ASC,
	title ASC
            title            | category_name | total_earnings |      avg_payment       
 HEARTBREAKERS BRIGHT        | Children      |         132.80 |     6.6400000000000000
 BEAUTY GREASE               | Drama         |         132.78 |     6.0354545454545455
 KISS GLORY                  | Foreign       |         132.78 |     6.0354545454545455
 LIAISONS SWEET              | Travel        |         131.78 |     5.9900000000000000
 ALADDIN CALENDAR            | Sports        |         131.77 |     5.7291304347826087
 SLEEPING SUSPECTS           | Horror        |         131.76 |     5.4900000000000000
 METROPOLIS COMA             | Sci-Fi        |         131.74 |     5.0669230769230769
 BINGO TALENTED              | Sci-Fi        |         131.71 |     4.5417241379310345
 ROAD ROXANNE                | Documentary   |         130.81 |     6.8847368421052632
 MILLION ACE                 | Classics      |         130.80 |     6.5400000000000000
 RIDGEMONT SUBMARINE         | New           |         130.68 |     4.0837500000000000
 SATISFACTION CONFIDENTIAL   | Sports        |         129.83 |     7.6370588235294118
 HEAVYWEIGHTS BEAST          | Documentary   |         129.77 |     5.6421739130434783
 DAWN POND                   | Games         |         128.82 |     7.1566666666666667
 INTERVIEW LIAISONS          | New           |         128.80 |     6.4400000000000000
 CAUSE DATE                  | Documentary   |         128.79 |     6.1328571428571429
 CANDLES GRAPES              | Games         |         128.77 |     5.5986956521739130
 FORWARD TEMPLE              | Games         |         128.68 |     4.0212500000000000
 TEEN APOLLO                 | Travel        |         127.83 |     7.5194117647058824
 SOMETHING DUCK              | Drama         |         127.81 |     6.7268421052631579
 SNATCH SLIPPER              | Comedy        |         127.78 |     5.8081818181818182
 FALCON VOLUME               | Animation     |         127.77 |     5.8077272727272727
 TRAP GUYS                   | Foreign       |         126.84 |     7.9275000000000000
 MISSION ZOOLANDER           | Animation     |         126.82 |     7.0455555555555556
 SABRINA MIDNIGHT            | Children      |         126.79 |     6.0376190476190476
 AGENT TRUMAN                | Foreign       |         126.79 |     6.0376190476190476
 FREDDY STORM                | Horror        |         126.77 |     5.5117391304347826
 STRANGERS GRAFFITI          | Horror        |         123.83 |     7.2841176470588235
 DOORS PRESIDENT             | Animation     |         123.81 |     6.5163157894736842
 MALTESE HOPE                | Games         |         123.78 |     5.6263636363636364
 BUTTERFLY CHOCOLAT          | New           |         123.70 |     4.1233333333333333
 TIMBERLAND SKY              | Classics      |         123.69 |     3.9900000000000000
 WATERFRONT DELIVERANCE      | Action        |         121.83 |     7.1664705882352941
 SLEEPLESS MONSOON           | Animation     |         121.80 |     6.0900000000000000
 TRUMAN CRAZY                | Action        |         121.77 |     5.2943478260869565
 SCARFACE BANG               | Children      |         120.82 |     6.7122222222222222
 HIGH ENCINO                 | Horror        |         120.78 |     5.4900000000000000
 RAGE GAMES                  | Family        |         119.81 |     6.3057894736842105
 GHOST GROUNDHOG             | Children      |         119.79 |     5.7042857142857143
 ANGELS LIFE                 | New           |         119.78 |     5.4445454545454545
 WASH HEAVENLY               | Foreign       |         119.77 |     5.2073913043478261
 LADY STAGE                  | Horror        |         118.83 |     6.9900000000000000
 DESERT POSEIDON             | Horror        |         118.81 |     6.2531578947368421
 PHILADELPHIA WIFE           | Sports        |         118.78 |     5.1643478260869565
 VIRTUAL SPOILERS            | Family        |         117.86 |     8.4185714285714286
 THIEF PELICAN               | Animation     |         117.81 |     6.2005263157894737
 SECRET GROUNDHOG            | Documentary   |         116.79 |     5.5614285714285714
 BROOKLYN DESERT             | Foreign       |         116.79 |     5.5614285714285714
 KNOCK WARLOCK               | Comedy        |         116.76 |     4.8650000000000000
 HANKY OCTOBER               | Sci-Fi        |         116.74 |     4.4900000000000000
 ROCKETEER MOTHER            | Foreign       |         116.67 |     3.5354545454545455
 GALAXY SWEETHEARTS          | Classics      |         115.82 |     6.4344444444444444
 PREJUDICE OLEANDER          | Classics      |         115.80 |     5.7900000000000000
 SPICE SORORITY              | Drama         |         115.80 |     5.7900000000000000
 DRIVING POLISH              | Music         |         115.79 |     5.5138095238095238
 BEVERLY OUTLAW              | Sci-Fi        |         115.79 |     5.5138095238095238
 CONVERSATION DOWNHILL       | Family        |         114.83 |     6.7547058823529412
 UNDEFEATED DALMATIONS       | Horror        |         114.79 |     5.4661904761904762
 ARACHNOPHOBIA ROLLERCOASTER | Horror        |         114.76 |     4.7816666666666667
 IDOLS SNATCHERS             | Children      |         114.70 |     3.8233333333333333
 HANGING DEEP                | Drama         |         113.81 |     5.9900000000000000
 REDEMPTION COMFORTS         | New           |         113.80 |     5.6900000000000000
 OPEN AFRICAN                | Sci-Fi        |         113.79 |     5.4185714285714286
 STRICTLY SCARFACE           | Comedy        |         113.77 |     4.9465217391304348
 SECRETARY ROUGE             | Sports        |         112.82 |     6.2677777777777778
 HORN WORKING                | Animation     |         112.76 |     4.6983333333333333
 CLUELESS BUCKET             | Action        |         112.75 |     4.5100000000000000
 GANGS PRIDE                 | Animation     |         112.73 |     4.1751851851851852
 BIRDS PERDITION             | New           |         111.82 |     6.2122222222222222
 SWEDEN SHINING              | Comedy        |         111.81 |     6.2116666666666667
 MONEY HAROLD                | New           |         111.80 |     5.5900000000000000
 FARGO GANDHI                | Children      |         111.76 |     4.6566666666666667
 PANKY SUBMARINE             | Games         |         110.85 |     7.3900000000000000
 DUDE BLINDNESS              | Sports        |         110.84 |     6.9275000000000000
 EXPECATIONS NATURAL         | Travel        |         110.82 |     6.1566666666666667
 REQUIEM TYCOON              | Classics      |         110.81 |     5.8321052631578947
 CHASING FIGHT               | Family        |         110.81 |     5.5405000000000000
 REIGN GENTLEMEN             | Sci-Fi        |         110.80 |     5.5400000000000000
 TOMORROW HUSTLER            | Classics      |         110.75 |     4.4300000000000000
 GRIT CLOCKWORK              | Games         |         110.68 |     3.4587500000000000
 DAY UNFAITHFUL              | New           |         109.86 |     7.8471428571428571
 BREAKFAST GOLDFINGER        | New           |         109.83 |     6.4605882352941176
 SHAWSHANK BUBBLE            | Travel        |         109.81 |     5.7794736842105263
 JET NEIGHBORS               | Foreign       |         109.80 |     5.4900000000000000
 GREATEST NORTH              | Music         |         109.71 |     3.7831034482758621
 SAMURAI LION                | New           |         108.75 |     4.3500000000000000
 FISH OPUS                   | Sci-Fi        |         108.75 |     4.3500000000000000
 ROCKY WAR                   | Drama         |         107.84 |     6.7400000000000000
 COMMAND DARLING             | Foreign       |         107.84 |     6.7400000000000000
 JERK PAYCHECK               | Classics      |         107.80 |     5.3900000000000000
 SOUTH WAIT                  | Action        |         107.78 |     4.8990909090909091
 BEAR GRACELAND              | Children      |         107.78 |     4.8990909090909091
 FATAL HAUNTED               | New           |         107.72 |     3.8471428571428571
 CUPBOARD SINNERS            | Documentary   |         106.77 |     4.6421739130434783
 SALUTE APOLLO               | New           |         106.77 |     4.6421739130434783
 GIANT TROOPERS              | Children      |         106.72 |     3.8114285714285714
 SUGAR WONKA                 | Animation     |         105.83 |     6.2252941176470588
 LEAGUE HELLFIGHTERS         | Classics      |         105.83 |     6.2252941176470588
 GORGEOUS BINGO              | Children      |         105.81 |     5.5689473684210526
 PEAK FOREVER                | Sports        |         105.80 |     5.2900000000000000
 EGG IGBY                    | Documentary   |         105.79 |     5.0376190476190476
 ROBBERS JOON                | Children      |         105.69 |     3.4093548387096774
 WEST LION                   | Drama         |         104.84 |     6.5525000000000000
 STEPMOM DREAM               | Foreign       |         104.80 |     5.2400000000000000
 ARIZONA BANG                | Classics      |         104.79 |     4.9900000000000000
 HYDE DOCTOR                 | Classics      |         104.73 |     4.0280769230769231
 TYCOON GATHERING            | Games         |         103.88 |     8.6566666666666667
 CORE SUIT                   | Classics      |         103.82 |     5.7677777777777778
 DRAGONFLY STRANGERS         | New           |         103.82 |     5.7677777777777778
 METAL ARMAGEDDON            | Documentary   |         103.75 |     4.1500000000000000
 INVASION CYCLONE            | Children      |         103.73 |     3.8418518518518519
 ENGLISH BULWORTH            | Sci-Fi        |         103.70 |     3.4566666666666667
 BILKO ANONYMOUS             | Family        |         102.87 |     7.9130769230769231
 FRENCH HOLIDAY              | Documentary   |         102.83 |     6.0488235294117647
 CONFUSED CANDLES            | Family        |         102.83 |     6.0488235294117647
 GROUNDHOG UNCUT             | Comedy        |         102.82 |     5.7122222222222222
 AIRPORT POLLOCK             | Horror        |         102.82 |     5.7122222222222222
 PATTON INTERVIEW            | Horror        |         102.77 |     4.4682608695652174
 PAYCHECK WAIT               | Drama         |         101.84 |     6.3650000000000000
 RULES HUMAN                 | Horror        |         101.84 |     6.3650000000000000
 ATTACKS HATE                | Sci-Fi        |         101.84 |     6.3650000000000000
 BROTHERHOOD BLANKET         | Documentary   |         101.74 |     3.9130769230769231
 CAMELOT VACATION            | Sci-Fi        |         101.73 |     3.7677777777777778
 BEHAVIOR RUNAWAY            | Horror        |         100.87 |     7.7592307692307692
 QUILLS BULL                 | Documentary   |         100.84 |     6.3025000000000000
 POSEIDON FOREVER            | Sports        |         100.83 |     5.9311764705882353
 JASON TRAP                  | Family        |         100.76 |     4.1983333333333333
 ICE CROSSING                | Games         |         100.76 |     4.1983333333333333
 CONQUERER NUTS              | Drama         |          99.84 |     6.2400000000000000
 MERMAID INSECTS             | Sports        |          99.84 |     6.2400000000000000
 IGBY MAKER                  | Travel        |          99.81 |     5.2531578947368421
 SHOCK CABIN                 | Foreign       |          99.70 |     3.3233333333333333
 HALL CASSIDY                | Children      |          98.84 |     6.1775000000000000
 PICKUP DRIVING              | Sports        |          98.84 |     6.1775000000000000
 BIKINI BORROWERS            | Animation     |          98.83 |     5.8135294117647059
 JERICHO MULAN               | Games         |          98.83 |     5.8135294117647059
 HANOVER GALAXY              | Music         |          98.83 |     5.8135294117647059
 BALLOON HOMEWARD            | Music         |          98.77 |     4.2943478260869565
 SWEETHEARTS SUSPECTS        | Children      |          98.71 |     3.4037931034482759
 MARRIED GO                  | Sci-Fi        |          98.70 |     3.2900000000000000
 WIZARD COLDBLOODED          | Music         |          97.84 |     6.1150000000000000
 HELLFIGHTERS SIERRA         | Foreign       |          97.80 |     4.8900000000000000
 SEA VIRGIN                  | Drama         |          97.78 |     4.4445454545454545
 EXPENDABLE STALLION         | Documentary   |          97.72 |     3.4900000000000000
 DESTINY SATURDAY            | New           |          96.84 |     6.0525000000000000
 CANDIDATE PERDITION         | Classics      |          96.81 |     5.3783333333333333
 VACATION BOONDOCK           | Sci-Fi        |          96.79 |     4.6090476190476190
 BARBARELLA STREETCAR        | Sci-Fi        |          96.75 |     3.8700000000000000
 DEER VIRGINIAN              | Music         |          96.72 |     3.3351724137931034
 JUGGLER HARDLY              | Animation     |          96.68 |     3.0212500000000000
 DAISY MENAGERIE             | Sci-Fi        |          95.84 |     5.9900000000000000
 INCH JET                    | Animation     |          95.82 |     5.3233333333333333
 OZ LIAISONS                 | Animation     |          95.76 |     3.9900000000000000
 SEABISCUIT PUNK             | Sports        |          95.74 |     3.6823076923076923
 MUSCLE BRIGHT               | Travel        |          95.70 |     3.1900000000000000
 GOLD RIVER                  | Comedy        |          94.86 |     6.7757142857142857
 SPY MILE                    | Games         |          94.73 |     3.5085185185185185
 MODEL FISH                  | Children      |          93.85 |     6.2566666666666667
 DYING MAKER                 | Comedy        |          93.83 |     5.5194117647058824
 VIRGIN DAISY                | Drama         |          93.83 |     5.5194117647058824
 DARN FORRESTER              | Action        |          93.82 |     5.2122222222222222
 COLOR PHILADELPHIA          | Classics      |          93.76 |     3.9066666666666667
 WARDROBE PHANTOM            | Drama         |          93.73 |     3.4714814814814815
 BRIGHT ENCOUNTERS           | Drama         |          92.87 |     7.1438461538461538
 FLASH WARS                  | New           |          92.87 |     7.1438461538461538
 EDGE KISSING                | Drama         |          92.85 |     6.1900000000000000
 PURE RUNNER                 | Comedy        |          92.84 |     5.8025000000000000
 MUSKETEERS WAIT             | Classics      |          92.83 |     5.4605882352941176
 SLEEPY JAPANESE             | New           |          92.80 |     4.4190476190476190
 SILVERADO GOLDFINGER        | Sci-Fi        |          91.88 |     7.6566666666666667
 BETRAYED REAR               | Children      |          91.85 |     6.1233333333333333
 SAGEBRUSH CLUELESS          | Documentary   |          91.84 |     5.7400000000000000
 SLACKER LIAISONS            | Drama         |          91.83 |     5.4017647058823529
 AFFAIR PREJUDICE            | Horror        |          91.77 |     3.9900000000000000
 TELEMARK HEARTBREAKERS      | Animation     |          91.75 |     3.6700000000000000
 HALF OUTFIELD               | Family        |          91.75 |     3.5288461538461538
 BLACKOUT PRIVATE            | Animation     |          91.73 |     3.3974074074074074
 CONNECTICUT TRAMP           | Sci-Fi        |          90.87 |     6.9900000000000000
 CAMPUS REMEMBER             | Action        |          90.81 |     4.7794736842105263
 BASIC EASY                  | Travel        |          90.79 |     4.3233333333333333
 ALIEN CENTER                | Foreign       |          90.78 |     4.1263636363636364
 FLATLINERS KILLER           | Sports        |          90.78 |     4.1263636363636364
 ELEPHANT TROJAN             | Horror        |          89.86 |     6.4185714285714286
 CHICAGO NORTH               | Games         |          89.84 |     5.6150000000000000
 COLDBLOODED DARLING         | Sci-Fi        |          89.84 |     5.6150000000000000
 DISTURBING SCARFACE         | Sci-Fi        |          89.74 |     3.4515384615384615
 PITTSBURGH HUNCHBACK        | Family        |          88.88 |     7.4066666666666667
 MEMENTO ZOOLANDER           | Comedy        |          88.87 |     6.8361538461538462
 MOONWALKER FOOL             | Games         |          88.87 |     6.8361538461538462
 SUBMARINE BED               | Comedy        |          88.85 |     5.9233333333333333
 PANTHER REDS                | Sci-Fi        |          88.85 |     5.9233333333333333
 LOSER HUSTLER               | Sports        |          88.85 |     5.9233333333333333
 PLUTO OLEANDER              | New           |          88.84 |     5.5525000000000000
 RUSH GOODFELLAS             | Family        |          88.69 |     2.8609677419354839
 CINCINATTI WHISPERER        | Sci-Fi        |          87.87 |     6.7592307692307692
 HYSTERICAL GRAIL            | Sports        |          87.85 |     5.8566666666666667
 FORREST SONS                | Action        |          87.82 |     4.8788888888888889
 VANISHING ROCKY             | Music         |          87.82 |     4.8788888888888889
 NORTHWEST POLISH            | Sports        |          87.80 |     4.3900000000000000
 ATLANTIS CAUSE              | Family        |          87.76 |     3.6566666666666667
 OPERATION OPERATION         | Comedy        |          87.73 |     3.2492592592592593
 HORROR REIGN                | Travel        |          87.73 |     3.2492592592592593
 SUPER WYOMING               | Family        |          86.87 |     6.6823076923076923
 LAWLESS VISION              | Animation     |          86.84 |     5.1082352941176471
 JEEPERS WEDDING             | Classics      |          86.84 |     5.4275000000000000
 WANDA CHAMBER               | Games         |          86.84 |     5.4275000000000000
 JEKYLL FROGMEN              | New           |          86.83 |     5.1076470588235294
 STAR OPERATION              | Sports        |          86.79 |     4.1328571428571429
 STRANGELOVE DESIRE          | Children      |          86.76 |     3.6150000000000000
 CHAMPION FLATLINERS         | Animation     |          85.87 |     6.6053846153846154
 ANTHEM LUKE                 | Comedy        |          85.85 |     5.7233333333333333
 STEERS ARMAGEDDON           | Sports        |          85.85 |     5.7233333333333333
 HURRICANE AFFAIR            | Comedy        |          85.76 |     3.5733333333333333
 CLASH FREDDY                | Animation     |          85.75 |     3.4300000000000000
 TRACY CIDER                 | Animation     |          85.74 |     3.2976923076923077
 ISLAND EXORCIST             | Classics      |          85.74 |     3.2976923076923077
 CONTACT ANONYMOUS           | Travel        |          85.74 |     3.2976923076923077
 AUTUMN CROW                 | Games         |          84.89 |     7.7172727272727273
 RAGING AIRPLANE             | Sci-Fi        |          84.87 |     6.5284615384615385
 PEACH INNOCENT              | Sports        |          84.85 |     6.0607142857142857
 COMFORTS RUSH               | Travel        |          84.83 |     4.9900000000000000
 BLUES INSTINCT              | Family        |          84.79 |     4.0376190476190476
 MURDER ANTITRUST            | Children      |          84.77 |     3.6856521739130435
 DOWNHILL ENOUGH             | Comedy        |          84.75 |     3.3900000000000000
 MALKOVICH PET               | Classics      |          84.74 |     3.2592307692307692
 NONE SPIKING                | Sci-Fi        |          84.73 |     3.1381481481481481
 CALIFORNIA BIRDS            | Sports        |          83.88 |     6.9900000000000000
 DEVIL DESIRE                | Action        |          83.85 |     5.5900000000000000
 CAROL TEXAS                 | Animation     |          83.82 |     4.6566666666666667
 EYES DRIVING                | Sci-Fi        |          83.81 |     4.4110526315789474
 FLYING HOOK                 | Animation     |          83.80 |     4.1900000000000000
 WAIT CIDER                  | Animation     |          83.79 |     3.9900000000000000
 OSCAR GOLD                  | Animation     |          83.75 |     3.3500000000000000
 DARKO DORADO                | Action        |          82.89 |     7.5354545454545455
 CREEPERS KANE               | Classics      |          82.86 |     5.9185714285714286
 AIRPLANE SIERRA             | Comedy        |          82.85 |     5.5233333333333333
 HOLIDAY GAMES               | Foreign       |          82.85 |     5.5233333333333333
 WORDS HUNTER                | Music         |          82.84 |     5.1775000000000000
 CASABLANCA SUPER            | Travel        |          82.84 |     5.1775000000000000
 NATIONAL STORY              | Documentary   |          82.81 |     4.3584210526315789
 UNBREAKABLE KARATE          | New           |          82.79 |     3.9423809523809524
 SHAKESPEARE SADDLE          | Sports        |          82.78 |     3.7627272727272727
 PATHS CONTROL               | Drama         |          81.90 |     8.1900000000000000
 SWEET BROTHERHOOD           | Travel        |          81.85 |     5.4566666666666667
 TROJAN TOMORROW             | Sci-Fi        |          81.80 |     4.3052631578947368
 DREAM PICKUP                | Action        |          81.78 |     3.7172727272727273
 GENTLEMEN STAGE             | Foreign       |          81.77 |     3.5552173913043478
 WEDDING APOLLO              | Documentary   |          81.76 |     3.4066666666666667
 GOLDFINGER SENSIBILITY      | Drama         |          81.76 |     3.4066666666666667
 LOSE INCH                   | Foreign       |          81.73 |     3.0270370370370370
 GRAFFITI LOVE               | Sci-Fi        |          81.70 |     2.7233333333333333
 HOBBIT ALIEN                | Drama         |          81.69 |     2.6351612903225806
 TIES HUNGER                 | Children      |          80.89 |     7.3536363636363636
 DEEP CRUSADE                | Documentary   |          80.86 |     5.7757142857142857
 HUMAN GRAFFITI              | Games         |          80.85 |     5.3900000000000000
 CHARADE DUFFEL              | Sci-Fi        |          80.85 |     5.3900000000000000
 ORIENT CLOSER               | Drama         |          80.83 |     4.7547058823529412
 IDAHO LOVE                  | New           |          80.83 |     4.7547058823529412
 ESCAPE METROPOLIS           | Travel        |          80.75 |     3.2300000000000000
 VAMPIRE WHALE               | New           |          79.88 |     6.6566666666666667
 HOME PITY                   | Music         |          79.86 |     5.7042857142857143
 SONS INTERVIEW              | Animation     |          79.84 |     5.3226666666666667
 BAKED CLEOPATRA             | Family        |          79.84 |     4.9900000000000000
 FERRIS MOTHER               | Comedy        |          79.83 |     4.6958823529411765
 PARADISE SABRINA            | Comedy        |          79.82 |     4.4344444444444444
 TROUBLE DATE                | Travel        |          79.78 |     3.4686956521739130
 OTHERS SOUP                 | Travel        |          79.77 |     3.4682608695652174
